,Maa,Vuosi,Gold,Silver,Bronze,No_medal,#,,Nimi,Ikä,PP,O,M,S,P,RM,+/-,YVM,AVM,VM,M/O,S/O,P/O
226,canada,2009,0,1,0,0,17,,Luke Schenn,19,P,9,0,1,1,0,4,0,0,0,0.000,0.111,0.111
227,canada,2009,0,1,0,0,18,,Scottie Upshall,25,H,8,0,1,1,27,1,0,0,0,0.000,0.125,0.125
228,canada,2009,0,1,0,0,19,,Braydon Coburn,24,P,5,0,1,1,4,0,0,0,0,0.000,0.200,0.200
229,canada,2009,0,1,0,0,20,,Chris Mason,33,M,4,0,1,1,0,,0,0,0,0.000,0.250,0.250
230,canada,2009,0,1,0,0,21,,Joel Kwiatkowski,32,P,5,0,0,0,2,1,0,0,0,0.000,0.000,0.000
231,canada,2009,0,1,0,0,22,,Dwayne Roloson,39,M,5,0,0,0,0,,0,0,0,0.000,0.000,0.000
232,canada,2009,0,1,0,0,23,,Marc-Edouard Vlasic,22,P,5,0,0,0,4,1,0,0,0,0.000,0.000,0.000
233,canada,2009,0,1,0,0,24,,Travis Zajac,23,H,5,0,0,0,2,1,0,0,0,0.000,0.000,0.000
234,canada,2008,0,1,0,0,1,,Dany Heatley,27,H,9,12,8,20,4,13,2,0,3,1.333,0.889,2.222
235,canada,2008,0,1,0,0,2,,Ryan Getzlaf,22,H,9,3,11,14,10,10,2,0,0,0.333,1.222,1.556
236,canada,2008,0,1,0,0,3,,Rick Nash,23,H,9,6,7,13,6,9,3,0,1,0.667,0.778,1.444
237,canada,2008,0,1,0,0,4,,Mike Green,22,P,9,4,8,12,2,2,3,0,1,0.444,0.889,1.333
238,canada,2008,0,1,0,0,5,,Derek Roy,24,H,9,5,5,10,6,4,2,0,0,0.556,0.556,1.111
239,canada,2008,0,1,0,0,6,,Martin St. Louis,32,H,9,2,8,10,0,4,1,0,0,0.222,0.889,1.111
240,canada,2008,0,1,0,0,7,,Brent Burns,23,P,9,3,6,9,16,14,1,0,0,0.333,0.667,1.000
241,canada,2008,0,1,0,0,8,,Eric Staal,23,H,8,4,3,7,6,5,1,0,0,0.500,0.375,0.875
242,canada,2008,0,1,0,0,9,,Chris Kunitz,28,H,9,2,5,7,4,2,0,0,0,0.222,0.556,0.778
