,Maa,Vuosi,Gold,Silver,Bronze,No_medal,#,,Nimi,Ikä,PP,O,M,S,P,RM,+/-,YVM,AVM,VM,M/O,S/O,P/O
270,canada,2007,1,0,0,0,14,,Justin Williams,25,H,9,1,2,3,16,-2,1,0,0,0.111,0.222,0.333
271,canada,2007,1,0,0,0,15,,Colby Armstrong,24,H,9,1,1,2,4,1,0,0,1,0.111,0.111,0.222
272,canada,2007,1,0,0,0,16,,Shea Weber,21,P,6,1,1,2,31,2,0,0,0,0.167,0.167,0.333
273,canada,2007,1,0,0,0,17,,Mike Commodore,27,P,9,0,2,2,14,2,0,0,0,0.000,0.222,0.222
274,canada,2007,1,0,0,0,18,,Barret Jackman,26,P,9,0,2,2,6,2,0,0,0,0.000,0.222,0.222
275,canada,2007,1,0,0,0,19,,Jordan Staal,18,H,9,0,2,2,0,4,0,0,0,0.000,0.222,0.222
276,canada,2007,1,0,0,0,20,,Nick Schultz,24,P,9,0,0,0,2,5,0,0,0,0.000,0.000,0.000
277,canada,2007,1,0,0,0,21,,Cam Ward,23,M,5,0,0,0,2,,0,0,0,0.000,0.000,0.000
278,canada,2007,1,0,0,0,22,,Dwayne Roloson,37,M,4,0,0,0,2,,0,0,0,0.000,0.000,0.000
279,canada,2006,0,0,0,1,1,,Sidney Crosby,18,H,9,8,8,16,10,7,2,0,1,0.889,0.889,1.778
280,canada,2006,0,0,0,1,2,,Patrice Bergeron,20,H,9,6,8,14,2,5,3,0,1,0.667,0.889,1.556
281,canada,2006,0,0,0,1,3,,Brad Boyes,24,H,9,4,4,8,4,6,2,0,1,0.444,0.444,0.889
282,canada,2006,0,0,0,1,4,,Jason Williams,25,H,9,2,5,7,2,-4,2,0,1,0.222,0.556,0.778
283,canada,2006,0,0,0,1,5,,Jeff Carter,21,H,9,4,2,6,2,6,0,4,1,0.444,0.222,0.667
284,canada,2006,0,0,0,1,6,,Kyle Calder,27,H,9,3,2,5,10,3,1,0,0,0.333,0.222,0.556
285,canada,2006,0,0,0,1,7,,Mike Richards,21,H,9,3,2,5,10,1,1,0,0,0.333,0.222,0.556
286,canada,2006,0,0,0,1,8,,Dan Hamhuis,23,P,9,1,4,5,10,3,0,0,0,0.111,0.444,0.556
287,canada,2006,0,0,0,1,9,,Mike Cammalleri,23,H,8,1,4,5,4,-2,0,0,0,0.125,0.500,0.625
288,canada,2006,0,0,0,1,10,,Mike Comrie,25,H,9,3,1,4,10,-3,1,0,0,0.333,0.111,0.444
289,canada,2006,0,0,0,1,11,,Brendan Shanahan,37,H,8,3,1,4,10,-2,3,0,1,0.375,0.125,0.500
290,canada,2006,0,0,0,1,12,,Brad Stuart,26,P,9,0,3,3,14,-3,0,0,0,0.000,0.333,0.333
291,canada,2006,0,0,0,1,13,,Stephane Robidas,29,P,9,1,1,2,6,9,0,0,0,0.111,0.111,0.222
292,canada,2006,0,0,0,1,14,,Glen Metropolit,31,H,9,0,2,2,6,-1,0,0,0,0.000,0.222,0.222
293,canada,2006,0,0,0,1,15,,Nick Schultz,23,P,9,0,2,2,6,4,0,0,0,0.000,0.222,0.222
294,canada,2006,0,0,0,1,16,,Scott Hartnell,24,H,9,1,0,1,4,2,1,0,0,0.111,0.000,0.111
295,canada,2006,0,0,0,1,17,,Matt Pettinger,25,H,8,1,0,1,4,-1,1,0,0,0.125,0.000,0.125
296,canada,2006,0,0,0,1,18,,Micki Dupont,26,P,9,0,1,1,4,1,0,0,0,0.000,0.111,0.111
297,canada,2006,0,0,0,1,19,,Trevor Daley,22,P,7,0,1,1,10,-1,0,0,0,0.000,0.143,0.143
298,canada,2006,0,0,0,1,20,,Brent Seabrook,21,P,8,0,0,0,2,-1,0,0,0,0.000,0.000,0.000
299,canada,2006,0,0,0,1,21,,Alex Auld,25,M,5,0,0,0,2,,0,0,0,0.000,0.000,0.000
300,canada,2006,0,0,0,1,22,,Marc Denis,28,M,5,0,0,0,0,,0,0,0,0.000,0.000,0.000
301,canada,2005,0,1,0,0,1,,Joe Thornton,25,H,9,6,10,16,4,7,2,0,2,0.667,1.111,1.778
302,canada,2005,0,1,0,0,2,,Rick Nash,20,H,9,9,6,15,8,7,3,0,3,1.000,0.667,1.667
303,canada,2005,0,1,0,0,3,,Simon Gagne,25,H,9,3,7,10,0,7,1,0,0,0.333,0.778,1.111
304,canada,2005,0,1,0,0,4,,Dany Heatley,24,H,9,3,4,7,16,1,2,0,0,0.333,0.444,0.778
305,canada,2005,0,1,0,0,5,,Wade Redden,27,P,9,2,3,5,2,6,0,0,0,0.222,0.333,0.556
306,canada,2005,0,1,0,0,6,,Brendan Morrison,29,H,9,4,0,4,10,2,1,0,0,0.444,0.000,0.444
307,canada,2005,0,1,0,0,7,,Patrick Marleau,25,H,9,2,2,4,4,-4,1,0,0,0.222,0.222,0.444
308,canada,2005,0,1,0,0,8,,Shane Doan,28,H,9,1,3,4,2,-2,0,0,0,0.111,0.333,0.444
309,canada,2005,0,1,0,0,9,,Ryan Smyth,29,H,9,2,1,3,6,2,1,0,0,0.222,0.111,0.333
310,canada,2005,0,1,0,0,10,,Ed Jovanovski,28,P,9,1,2,3,8,-2,1,0,1,0.111,0.222,0.333
311,canada,2005,0,1,0,0,11,,Dan Boyle,28,P,9,0,3,3,6,4,0,0,0,0.000,0.333,0.333
312,canada,2005,0,1,0,0,12,,Kirk Maltby,32,H,9,1,1,2,8,-2,0,0,0,0.111,0.111,0.222
313,canada,2005,0,1,0,0,13,,Sheldon Souray,28,P,9,1,1,2,6,0,0,0,0,0.111,0.111,0.222
314,canada,2005,0,1,0,0,14,,Kris Draper,33,H,9,0,2,2,6,-1,0,0,0,0.000,0.222,0.222
315,canada,2005,0,1,0,0,15,,Mike Fisher,24,H,9,0,1,1,4,-3,0,0,0,0.000,0.111,0.111
316,canada,2005,0,1,0,0,16,,Brenden Morrow,26,H,9,0,1,1,6,-3,0,0,0,0.000,0.111,0.111
317,canada,2005,0,1,0,0,17,,Chris Phillips,27,P,9,0,1,1,8,1,0,0,0,0.000,0.111,0.111
318,canada,2005,0,1,0,0,18,,Scott Hannan,26,P,9,0,0,0,8,0,0,0,0,0.000,0.000,0.000
319,canada,2005,0,1,0,0,19,,Robyn Regehr,25,P,9,0,0,0,4,-3,0,0,0,0.000,0.000,0.000
320,canada,2005,0,1,0,0,20,,Scott Walker,31,H,9,0,0,0,4,-4,0,0,0,0.000,0.000,0.000
321,canada,2005,0,1,0,0,21,,Martin Brodeur,32,M,7,0,0,0,0,,0,0,0,0.000,0.000,0.000
322,canada,2005,0,1,0,0,22,,Roberto Luongo,26,M,2,0,0,0,0,,0,0,0,0.000,0.000,0.000
323,canada,2004,1,0,0,0,1,,Dany Heatley,23,H,9,8,3,11,4,3,3,0,2,0.889,0.333,1.222
324,canada,2004,1,0,0,0,2,,Daniel Briere,26,H,9,2,6,8,6,2,2,0,0,0.222,0.667,0.889
325,canada,2004,1,0,0,0,3,,Shawn Horcoff,25,H,9,3,4,7,8,4,0,0,1,0.333,0.444,0.778
326,canada,2004,1,0,0,0,4,,Brendan Morrison,28,H,9,1,6,7,6,-1,0,0,1,0.111,0.667,0.778
327,canada,2004,1,0,0,0,5,,Rob Niedermayer,29,H,9,2,4,6,22,3,0,0,0,0.222,0.444,0.667
328,canada,2004,1,0,0,0,6,,Scott Niedermayer,30,P,9,3,2,5,12,4,2,0,0,0.333,0.222,0.556
329,canada,2004,1,0,0,0,7,,Derek Morris,25,P,9,0,5,5,35,-2,0,0,0,0.000,0.556,0.556
330,canada,2004,1,0,0,0,8,,Matt Cooke,25,H,9,2,2,4,8,5,0,1,0,0.222,0.222,0.444
331,canada,2004,1,0,0,0,9,,Glen Murray,31,H,9,2,2,4,4,0,2,0,1,0.222,0.222,0.444
332,canada,2004,1,0,0,0,10,,Ryan Smyth,28,H,9,2,2,4,2,-1,0,0,0,0.222,0.222,0.444
