RK,Country,Name,Age,Pos,GP,G,A,P,PIM,PM,PPG,SHG,GWG,G_GP,A_GP,P_GP,Year,Gold,Silver,Bronze,No_medal
23,DE,Bernhard Ebner,27,D,3,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,1
24,DE,Timo Pielmeier,28,G,2,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
25,DE,Mathias Niederberger,25,G,1,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
1,LV,Rudolfs Balcers,21,F,8,4,2,6,0,-1,1,0,1,0.5,0.25,0.75,2018,0,0,0,1
2,LV,Andris Dzerins,30,F,8,3,2,5,10,4,1,0,1,0.375,0.25,0.625,2018,0,0,0,1
3,LV,Rodrigo Abols,22,F,8,1,4,5,4,0,0,0,0,0.125,0.5,0.625,2018,0,0,0,1
4,LV,Miks Indrasis,27,F,8,0,5,5,2,1,0,0,0,0,0.625,0.625,2018,0,0,0,1
5,LV,Roberts Bukarts,27,F,8,2,2,4,0,0,1,0,0,0.25,0.25,0.5,2018,0,0,0,1
6,LV,Ronalds Kenins,27,F,8,2,1,3,4,-1,0,0,0,0.25,0.125,0.375,2018,0,0,0,1
7,LV,Rihards Bukarts,22,F,8,1,2,3,4,0,0,0,0,0.125,0.25,0.375,2018,0,0,0,1
8,LV,Teodors Blueger,23,F,5,1,2,3,0,1,0,0,0,0.2,0.4,0.6,2018,0,0,0,1
9,LV,Guntis Galvins,32,D,8,1,1,2,0,-1,0,0,1,0.125,0.125,0.25,2018,0,0,0,1
10,LV,Kristians Rubins,20,D,8,1,1,2,2,1,0,0,0,0.125,0.125,0.25,2018,0,0,0,1
11,LV,Uvis Balinskis,21,D,5,1,1,2,0,-1,0,0,0,0.2,0.2,0.4,2018,0,0,0,1
12,LV,Mikelis Redlihs,33,F,8,0,2,2,4,4,0,0,0,0,0.25,0.25,2018,0,0,0,1
13,LV,Kristaps Sotnieks,31,D,8,0,2,2,0,2,0,0,0,0,0.25,0.25,2018,0,0,0,1
14,LV,Martins Karsums,32,F,3,0,2,2,0,0,0,0,0,0,0.667,0.667,2018,0,0,0,1
